origin,State_Name,State_Post_Office_Code,County
,ALASKA,AK,Fairbanks North Star Borough
,ALASKA,AK,Fairbanks North Star Borough
,ALASKA,AK,Fairbanks North Star Borough
,ALASKA,AK,Fairbanks North Star Borough
,ALASKA,AK,Fairbanks North Star Borough
,ALASKA,AK,Fairbanks North Star Borough
,ALASKA,AK,Fairbanks North Star Borough
,ALASKA,AK,Fairbanks North Star Borough
,ALASKA,AK,Fairbanks North Star Borough
,ALASKA,AK,Fairbanks North Star Borough
,ALASKA,AK,Fairbanks North Star Borough
,ALASKA,AK,Denali Borough
,ALASKA,AK,Fairbanks North Star Borough
,ALASKA,AK,Fairbanks North Star Borough
FAI,ALASKA,AK,Fairbanks North Star Borough
